"X_unit_id"	"X_golden"	"X_unit_state"	"X_trusted_judgments"	"X_last_judgment_at"	"airline_sentiment"	"airline_sentiment.confidence"	"negativereason"	"negativereason.confidence"	"airline"	"airline_sentiment_gold"	"name"	"negativereason_gold"	"retweet_count"	"text"	"tweet_coord"	"tweet_created"	"tweet_id"	"tweet_location"	"user_timezone"
"15"	681448182	FALSE	"finalized"	3	"2/25/15 7:33"	"positive"	1	""	NA	"Virgin America"	NA	"sjespers"	NA	0	"@VirginAmerica Thanks!"	""	"2/24/15 10:15"	5.70286e+17	"San Francisco, CA"	"Pacific Time (US & Canada)"
"16"	681448184	FALSE	"finalized"	3	"2/25/15 3:11"	"negative"	0.6842	"Late Flight"	0.3684	"Virgin America"	NA	"smartwatermelon"	NA	0	"@VirginAmerica SFO-PDX schedule is still MIA."	""	"2/24/15 10:01"	5.70282e+17	"palo alto, ca"	"Pacific Time (US & Canada)"
"17"	681448186	FALSE	"finalized"	3	"2/25/15 1:32"	"positive"	1	""	NA	"Virgin America"	NA	"ItzBrianHunty"	NA	0	"@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo"	""	"2/24/15 9:42"	5.70278e+17	"west covina"	"Pacific Time (US & Canada)"
"18"	681448188	FALSE	"finalized"	3	"2/25/15 8:46"	"negative"	1	"Bad Flight"	1	"Virgin America"	NA	"heatherovieda"	NA	0	"@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!"	""	"2/24/15 9:39"	5.70277e+17	"this place called NYC"	"Eastern Time (US & Canada)"
"19"	681448190	FALSE	"finalized"	3	"2/25/15 10:24"	"positive"	1	""	NA	"Virgin America"	NA	"thebrandiray"	NA	0	"I âù_ï¸è flying @VirginAmerica. â˜ºï¸è_Ÿ‘ç"	""	"2/24/15 9:15"	5.70271e+17	"Somewhere celebrating life. "	"Atlantic Time (Canada)"
"20"	681448192	FALSE	"finalized"	3	"2/25/15 5:25"	"positive"	1	""	NA	"Virgin America"	NA	"JNLpierce"	NA	0	"@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you."	""	"2/24/15 9:04"	5.70268e+17	"Boston | Waltham"	"Quito"
"21"	681448194	FALSE	"finalized"	3	"2/25/15 3:34"	"negative"	0.6705	"Can't Tell"	0.3614	"Virgin America"	NA	"MISSGJ"	NA	0	"@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???"	""	"2/24/15 8:55"	5.70266e+17	""	""
"22"	681448197	FALSE	"finalized"	3	"2/25/15 2:26"	"positive"	1	""	NA	"Virgin America"	NA	"DT_Les"	NA	0	"@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA"	"[40.74804263, -73.99295302]"	"2/24/15 8:49"	5.70264e+17	""	""
"23"	681448199	FALSE	"finalized"	3	"2/25/15 3:26"	"positive"	1	""	NA	"Virgin America"	NA	"ElvinaBeck"	NA	0	"@VirginAmerica I love the hipster innovation. You are a feel good brand."	""	"2/24/15 8:30"	5.70259e+17	"Los Angeles"	"Pacific Time (US & Canada)"
"24"	681448201	FALSE	"finalized"	3	"2/25/15 11:31"	"neutral"	1	""	NA	"Virgin America"	NA	"rjlynch21086"	NA	0	"@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?"	""	"2/24/15 8:27"	5.70259e+17	"Boston, MA "	"Eastern Time (US & Canada)"
"25"	681448204	FALSE	"finalized"	3	"2/25/15 5:59"	"negative"	1	"Customer Service Issue"	0.3557	"Virgin America"	NA	"ayeevickiee"	NA	0	"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _Ÿ˜¡ I want free internet"	""	"2/24/15 8:18"	5.70257e+17	"714"	"Mountain Time (US & Canada)"
"26"	681448206	FALSE	"finalized"	3	"2/25/15 5:25"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"Leora13"	NA	0	"@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response."	""	"2/24/15 7:49"	5.70249e+17	""	""
"27"	681448208	FALSE	"finalized"	3	"2/25/15 2:01"	"negative"	1	"Can't Tell"	0.6614	"Virgin America"	NA	"meredithjlynn"	NA	0	"@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail"	""	"2/24/15 7:11"	5.7024e+17	""	""
"28"	681448211	FALSE	"finalized"	3	"2/25/15 1:08"	"neutral"	0.6854	""	NA	"Virgin America"	NA	"AdamSinger"	NA	0	"@VirginAmerica do you miss me? Don't worry we'll be together very soon."	""	"2/24/15 5:44"	5.70218e+17	"San Francisco, CA"	"Central Time (US & Canada)"
"29"	681448213	FALSE	"finalized"	3	"2/25/15 9:04"	"negative"	1	"Bad Flight"	1	"Virgin America"	NA	"blackjackpro911"	NA	0	"@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS"	"[42.361016, -71.02000488]"	"2/24/15 5:05"	5.70208e+17	"San Mateo, CA & Las Vegas, NV"	""
"30"	681448214	FALSE	"finalized"	3	"2/25/15 9:14"	"neutral"	0.615	""	0	"Virgin America"	NA	"TenantsUpstairs"	NA	0	"@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix"	"[33.94540417, -118.4062472]"	"2/23/15 23:34"	5.70125e+17	"Brooklyn"	"Atlantic Time (Canada)"
"31"	681448218	FALSE	"finalized"	3	"2/25/15 2:49"	"negative"	1	"Flight Booking Problems"	1	"Virgin America"	NA	"jordanpichler"	NA	0	"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _Ÿ˜¢"	""	"2/23/15 22:52"	5.70114e+17	""	"Vienna"
"32"	681448221	FALSE	"finalized"	3	"2/25/15 2:55"	"neutral"	1	""	NA	"Virgin America"	NA	"JCervantezzz"	NA	0	"@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?"	""	"2/23/15 21:35"	5.70095e+17	"California, San Francisco"	"Pacific Time (US & Canada)"
"33"	681448223	FALSE	"finalized"	3	"2/25/15 1:57"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"Cuschoolie1"	NA	0	"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"	"[33.94209449, -118.40410103]"	"2/23/15 21:10"	5.70088e+17	"Washington DC"	"Quito"
"34"	681448225	FALSE	"finalized"	3	"2/25/15 2:53"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"amanduhmccarty"	NA	0	"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("	""	"2/23/15 20:55"	5.70085e+17	""	"Pacific Time (US & Canada)"
"35"	681448228	FALSE	"finalized"	3	"2/25/15 1:01"	"positive"	1	""	NA	"Virgin America"	NA	"NorthTxHomeTeam"	NA	0	"@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews"	"[33.2145038, -96.9321504]"	"2/23/15 20:24"	5.70077e+17	"Texas"	"Central Time (US & Canada)"
"36"	681448230	FALSE	"finalized"	3	"2/25/15 2:14"	"neutral"	0.6207	""	NA	"Virgin America"	NA	"miaerolinea"	NA	0	"Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP"	""	"2/23/15 18:46"	5.70052e+17	"Worldwide"	"Caracas"
"37"	681448235	FALSE	"finalized"	3	"2/25/15 1:35"	"positive"	1	""	NA	"Virgin America"	NA	"Nicsplace"	NA	0	"@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _Ÿ’œâœˆ #MoodlitMonday"	""	"2/23/15 18:43"	5.70051e+17	"Central Texas"	""
"38"	681448239	FALSE	"finalized"	3	"2/25/15 6:24"	"positive"	1	""	NA	"Virgin America"	NA	"Nicsplace"	NA	0	"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"	""	"2/23/15 18:19"	5.70045e+17	"Central Texas"	""
"39"	681448241	FALSE	"finalized"	3	"2/25/15 5:08"	"neutral"	0.6791	""	0	"Virgin America"	NA	"elisha_malulani"	NA	0	"@VirginAmerica when can I book my flight to Hawaii??"	""	"2/23/15 17:54"	5.70039e+17	"i'm creating a monster "	"Pacific Time (US & Canada)"
"40"	681448243	FALSE	"finalized"	3	"2/25/15 9:25"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"DannyDouglass"	NA	0	"@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk"	""	"2/23/15 17:41"	5.70036e+17	"San Francisco, CA"	"Pacific Time (US & Canada)"
"41"	681448245	FALSE	"finalized"	3	"2/25/15 0:42"	"positive"	0.6639	""	NA	"Virgin America"	NA	"jamesferrandini"	NA	0	"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"	""	"2/23/15 17:32"	5.70034e+17	""	""
"42"	681448247	FALSE	"finalized"	3	"2/25/15 4:58"	"negative"	0.6688	"Flight Booking Problems"	0.6688	"Virgin America"	NA	"will_lenzenjr"	NA	0	"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"	""	"2/23/15 17:00"	5.70025e+17	"Iowa City"	"Central Time (US & Canada)"
"43"	681448249	FALSE	"finalized"	3	"2/25/15 6:26"	"neutral"	1	""	NA	"Virgin America"	NA	"GottAmanda"	NA	0	"@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _Ÿç·_Ÿ‘ç_Ÿ’ºâœˆï¸è"	"[34.0219817, -118.38591198]"	"2/23/15 16:24"	5.70016e+17	"Los Angeles"	""
"44"	681448251	FALSE	"finalized"	3	"2/25/15 6:30"	"neutral"	0.6578	""	0	"Virgin America"	NA	"KGervaise"	NA	0	"@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp"	""	"2/23/15 16:20"	5.70015e+17	"Georgia"	"Pacific Time (US & Canada)"
"45"	681448254	FALSE	"finalized"	3	"2/25/15 8:33"	"neutral"	1	""	NA	"Virgin America"	NA	"papamurat"	NA	0	"@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?"	""	"2/23/15 16:13"	5.70014e+17	""	""
"46"	681448256	FALSE	"finalized"	3	"2/25/15 5:46"	"positive"	1	""	NA	"Virgin America"	NA	"arieldaie"	NA	0	"@VirginAmerica I'm #elevategold for a good reason: you rock!!"	""	"2/23/15 16:08"	5.70012e+17	"Los Angeles"	""
"47"	681448258	FALSE	"finalized"	3	"2/25/15 5:56"	"neutral"	0.6799	""	NA	"Virgin America"	NA	"vacations7"	NA	0	"@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx"	""	"2/23/15 16:04"	5.70011e+17	"Turks and caicos"	""
"48"	681448260	FALSE	"finalized"	3	"2/25/15 7:50"	"positive"	1	""	NA	"Virgin America"	NA	"ChelseaPoe666"	NA	0	"@VirginAmerica wow this just blew my mind"	""	"2/23/15 16:01"	5.70011e+17	"Oakland via Midwest "	"Atlantic Time (Canada)"
"49"	681448262	FALSE	"finalized"	3	"2/25/15 6:47"	"neutral"	1	""	NA	"Virgin America"	NA	"BobGlavinVO"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree"	""	"2/23/15 16:01"	5.70011e+17	"New York, NY"	"Eastern Time (US & Canada)"
"50"	681448264	FALSE	"finalized"	3	"2/25/15 3:52"	"neutral"	0.6436	""	NA	"Virgin America"	NA	"lisaaiko"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood All were entertaining"	""	"2/23/15 15:58"	5.7001e+17	""	""
"51"	681448265	FALSE	"finalized"	3	"2/25/15 3:23"	"neutral"	0.6764	""	0	"Virgin America"	NA	"grantbrowne"	NA	0	"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows \"On Time\" not \"In Flight\". Thanks."	""	"2/23/15 15:55"	5.70009e+17	"Worldwide"	"Central Time (US & Canada)"
"52"	681448267	FALSE	"finalized"	3	"2/25/15 8:02"	"positive"	0.657	""	NA	"Virgin America"	NA	"joyabsalon"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood"	""	"2/23/15 15:46"	5.70007e+17	"Northern Virginia"	"Eastern Time (US & Canada)"
"53"	681448269	FALSE	"finalized"	3	"2/25/15 6:54"	"neutral"	1	""	NA	"Virgin America"	NA	"2v"	NA	0	"@VirginAmerica wish you flew out of Atlanta... Soon?"	""	"2/23/15 15:36"	5.70004e+17	"Los Angeles / Atlanta"	"Eastern Time (US & Canada)"
"54"	681448271	FALSE	"finalized"	3	"2/25/15 6:58"	"neutral"	0.7118	""	0	"Virgin America"	NA	"KSmithFoundHere"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down."	""	"2/23/15 15:24"	5.70001e+17	""	"Atlantic Time (Canada)"
"55"	681448273	FALSE	"finalized"	3	"2/25/15 7:06"	"neutral"	1	""	NA	"Virgin America"	NA	"papamurat"	NA	0	"@VirginAmerica Will flights be leaving Dallas for LA on February 24th?"	""	"2/23/15 15:19"	5.7e+17	""	""
"56"	681448275	FALSE	"finalized"	3	"2/25/15 9:10"	"negative"	0.6939	"Flight Booking Problems"	0.6939	"Virgin America"	NA	"murphicus"	NA	0	"@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!"	""	"2/23/15 15:05"	5.69996e+17	"new york, new york"	"Eastern Time (US & Canada)"
"57"	681448278	FALSE	"finalized"	3	"2/25/15 2:43"	"positive"	1	""	NA	"Virgin America"	NA	"VinnieFerra"	NA	0	"@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures"	""	"2/23/15 15:04"	5.69996e+17	"brooklyn, Ny"	"Pacific Time (US & Canada)"
"58"	681448280	FALSE	"finalized"	3	"2/25/15 0:33"	"positive"	0.635	""	NA	"Virgin America"	NA	"KevinDemsi"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _Ÿ˜_"	""	"2/23/15 14:40"	5.6999e+17	"Bali, Republic of Indonesia"	"Kuala Lumpur"
"59"	681448282	FALSE	"finalized"	3	"2/25/15 6:57"	"neutral"	0.7007	""	NA	"Virgin America"	NA	"giffgaffman"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood - Carrie!"	""	"2/23/15 14:40"	5.6999e+17	"UK, USA. "	""
"60"	681448284	FALSE	"finalized"	3	"2/25/15 6:58"	"neutral"	1	""	NA	"Virgin America"	NA	"HanlonBrothers"	NA	0	"@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?"	""	"2/23/15 14:37"	5.6999e+17	"Gold Coast, Australia"	"Brisbane"
"61"	681448288	FALSE	"finalized"	3	"2/25/15 5:38"	"neutral"	1	""	NA	"Virgin America"	NA	"emilybg78"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh."	""	"2/23/15 14:36"	5.69989e+17	"Stockton, CA"	"Arizona"
"62"	681448290	FALSE	"finalized"	3	"2/25/15 9:58"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"rachie1126"	NA	0	"@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!"	""	"2/23/15 14:35"	5.69989e+17	"New York, NY"	"Eastern Time (US & Canada)"
"63"	681448292	FALSE	"finalized"	3	"2/25/15 8:08"	"neutral"	0.6858	""	NA	"Virgin America"	NA	"adawson66"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _Ÿ˜ç_Ÿ‘Œ"	"[33.57963333, -117.73024772]"	"2/23/15 14:30"	5.69988e+17	""	""
"64"	681448295	FALSE	"finalized"	3	"2/25/15 7:27"	"neutral"	1	""	NA	"Virgin America"	NA	"SocialPLC"	NA	0	"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"	""	"2/23/15 14:26"	5.69987e+17	"Twin Cities, Minn."	"Eastern Time (US & Canada)"
"65"	681448297	FALSE	"finalized"	3	"2/25/15 5:58"	"positive"	1	""	NA	"Virgin America"	NA	"jeffreymace01"	NA	0	"@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!"	""	"2/23/15 14:25"	5.69986e+17	""	""
"66"	681448299	FALSE	"finalized"	3	"2/25/15 8:18"	"neutral"	0.6814	""	0	"Virgin America"	NA	"1stcrown"	NA	0	"@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please."	""	"2/23/15 14:09"	5.69982e+17	"USA"	"Central Time (US & Canada)"
"67"	681448302	FALSE	"finalized"	3	"2/25/15 1:05"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"onerockgypsy"	NA	0	"@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/"	""	"2/23/15 13:46"	5.69977e+17	"next city"	"Pacific Time (US & Canada)"
"68"	681448303	FALSE	"finalized"	3	"2/25/15 6:08"	"negative"	1	"Late Flight"	0.6789	"Virgin America"	NA	"noelduan"	NA	0	"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"	""	"2/23/15 13:35"	5.69974e+17	"SF â†” NY"	"Eastern Time (US & Canada)"
"69"	681448306	FALSE	"finalized"	3	"2/25/15 3:41"	"positive"	0.6922	""	NA	"Virgin America"	NA	"Travelzoo"	NA	0	"@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV"	""	"2/23/15 13:30"	5.69973e+17	"New York, NY"	"Pacific Time (US & Canada)"
"70"	681448308	FALSE	"finalized"	3	"2/25/15 3:22"	"negative"	1	"Lost Luggage"	1	"Virgin America"	NA	"gianagon"	NA	0	"@VirginAmerica everything was fine until you lost my bag"	"[40.6413712, -73.78311558]"	"2/23/15 13:08"	5.69967e+17	"New York + Panama"	"Eastern Time (US & Canada)"
"71"	681448310	FALSE	"finalized"	3	"2/25/15 1:56"	"neutral"	1	""	NA	"Virgin America"	NA	"bxchen"	NA	0	"@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?"	""	"2/23/15 12:47"	5.69962e+17	"San Francisco, CA"	"Eastern Time (US & Canada)"
"72"	681448312	FALSE	"finalized"	3	"2/25/15 7:04"	"neutral"	0.6492	""	0	"Virgin America"	NA	"seimatrun"	NA	0	"@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number."	""	"2/23/15 12:00"	5.6995e+17	"Los Angeles"	""
"73"	681448314	FALSE	"finalized"	3	"2/25/15 9:16"	"neutral"	1	""	NA	"Virgin America"	NA	"jamied7"	NA	0	"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"	""	"2/23/15 11:56"	5.69949e+17	"London, England"	"London"
"74"	681448317	FALSE	"finalized"	3	"2/25/15 7:27"	"negative"	1	"Flight Attendant Complaints"	0.3516	"Virgin America"	NA	"seimatrun"	NA	0	"@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt"	""	"2/23/15 11:46"	5.69946e+17	"Los Angeles"	""
"75"	681448319	FALSE	"finalized"	3	"2/25/15 6:39"	"positive"	1	""	NA	"Virgin America"	NA	"mrmichaellay"	NA	0	"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."	"[36.08457854, -115.13780136]"	"2/23/15 11:32"	5.69943e+17	"Floridian from Cincinnati "	"Eastern Time (US & Canada)"
"76"	681448320	FALSE	"finalized"	3	"2/25/15 3:09"	"positive"	1	""	NA	"Virgin America"	NA	"TaylorLumsden"	NA	0	"@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?"	""	"2/23/15 11:28"	5.69942e+17	"Dallas, Texas"	"Mountain Time (US & Canada)"
"77"	681448321	FALSE	"finalized"	3	"2/25/15 0:46"	"neutral"	1	""	NA	"Virgin America"	NA	"campusmoviefest"	NA	0	"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"	""	"2/23/15 11:24"	5.69941e+17	"USA"	"Eastern Time (US & Canada)"
"78"	681448322	FALSE	"finalized"	3	"2/25/15 1:46"	"neutral"	1	""	NA	"Virgin America"	NA	"TaylorLumsden"	NA	0	"@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks"	""	"2/23/15 11:22"	5.6994e+17	"Dallas, Texas"	"Mountain Time (US & Canada)"
"79"	681448324	FALSE	"finalized"	3	"2/25/15 4:43"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"meme_meng"	NA	0	"@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you."	""	"2/23/15 11:02"	5.69935e+17	""	""
"80"	681448326	FALSE	"finalized"	3	"2/25/15 3:07"	"neutral"	1	""	NA	"Virgin America"	NA	"kyle_romanoff"	NA	0	"@VirginAmerica what happened to Doom?!"	""	"2/23/15 10:58"	5.69934e+17	""	""
"81"	681448329	FALSE	"finalized"	3	"2/25/15 7:14"	"negative"	1	"Customer Service Issue"	1	"Virgin America"	NA	"GunsNDip"	NA	0	"@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness"	""	"2/23/15 10:56"	5.69934e+17	""	"Pacific Time (US & Canada)"
"82"	681448331	FALSE	"finalized"	3	"2/25/15 1:04"	"positive"	1	""	NA	"Virgin America"	NA	"artisticwritr87"	NA	0	"@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G"	""	"2/23/15 10:56"	5.69934e+17	"Seattle, WA"	"Pacific Time (US & Canada)"
"83"	681448334	FALSE	"finalized"	3	"2/25/15 4:13"	"negative"	0.6792	"Late Flight"	0.3477	"Virgin America"	NA	"arieldaie"	NA	0	"@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :("	""	"2/23/15 10:54"	5.69933e+17	"Los Angeles"	""
"84"	681448336	FALSE	"finalized"	3	"2/25/15 9:57"	"negative"	1	"Can't Tell"	1	"Virgin America"	NA	"GunsNDip"	NA	0	"@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness"	""	"2/23/15 10:54"	5.69933e+17	""	"Pacific Time (US & Canada)"
